amount0,amount1,liquidity,tick,timestamp
-95559419785785799413,95551483,600721178376759721339,-276325,2026-07-18 22:07:35.000 UTC
-142358106922018668544,142346227,600721178376759721339,-276325,2026-07-18 22:11:23.000 UTC
16904727559837298907,-16904159,600721178376759721339,-276325,2026-07-18 22:13:11.000 UTC
-7265125937707040000,7264518,600721178376759721339,-276325,2026-07-18 22:15:47.000 UTC
-47641434000000000000,47637444,600721178376759721339,-276325,2026-07-18 22:17:11.000 UTC
-1862800000000000000000,1862638105,600721178376759721339,-276325,2026-07-18 22:18:23.000 UTC
-292524734353155227641,292498261,600721178376759721339,-276325,2026-07-18 22:46:11.000 UTC
-1854745219000000000000,1854570741,600721178376759721339,-276325,2026-07-18 22:51:59.000 UTC
-41010000813655220,41006,600721178376759721339,-276325,2026-07-18 22:58:47.000 UTC
24951175434555115207,-24950000,600721178376759721339,-276325,2026-07-18 23:25:23.000 UTC
258731865113884860449,-258719796,600721178376759721339,-276325,2026-07-18 23:35:47.000 UTC
2698805805054970454184,-2698693200,600721178376759721339,-276325,2026-07-18 23:49:11.000 UTC
1786444867257224120622,-1786383667,600721178376759721339,-276325,2026-07-19 00:01:11.000 UTC
-129924156000000000000,129913567,600721178376759721339,-276325,2026-07-19 00:24:47.000 UTC
-115272355572080699167,115262923,1045118058715259458996,-276325,2026-07-19 01:40:11.000 UTC
-251712836199000000000,251692151,1045118058715259458996,-276325,2026-07-19 01:43:35.000 UTC
2361809839036694498353,-2361738608,1045118058715259458996,-276325,2026-07-19 02:01:47.000 UTC
-1022320058078203150308,1022239421,1045118058715259458996,-276325,2026-07-19 02:04:59.000 UTC
-1228084275144344895259,1227984764,1045118058715259458996,-276325,2026-07-19 02:05:23.000 UTC
-6672109811373282587642,6671518748,1045118058715259458996,-276325,2026-07-19 02:05:59.000 UTC
23468319597713233804,-23467265,1045118058715259458996,-276325,2026-07-19 02:13:59.000 UTC
899429635507875698712,-899390000,1045118058715259458996,-276325,2026-07-19 02:23:59.000 UTC
-117249904800000000000,117238963,1045118058715259458996,-276325,2026-07-19 02:27:11.000 UTC
-968858061799196658623,968766644,1045118058715259458996,-276325,2026-07-19 02:33:47.000 UTC
70003165429297754036,-70000000,1045118058715259458996,-276325,2026-07-19 03:34:23.000 UTC
2795697111427333080,-2795571,1045118058715259458996,-276325,2026-07-19 04:08:23.000 UTC
-479746716948353150532,479700852,1045118058715259458996,-276325,2026-07-19 04:10:59.000 UTC
10482860334948288558966,-10482482592,1045118058715259458996,-276325,2026-07-19 04:47:11.000 UTC
-223303173000000000000,223286153,1045118058715259458996,-276325,2026-07-19 05:00:47.000 UTC
370820642250736519811,-370810973,1045118058715259458996,-276325,2026-07-19 05:08:59.000 UTC
-186262533000000000000,186248395,1045118058715259458996,-276325,2026-07-19 05:09:35.000 UTC
-740033286910946387823,739975144,1045118058715259458996,-276325,2026-07-19 05:13:35.000 UTC
-931203409000000000000,931131736,1045118058715259458996,-276325,2026-07-19 05:13:35.000 UTC
16590022012978968486580,-16589799647,1045118058715259458996,-276325,2026-07-19 05:26:35.000 UTC
9007104781438180463629,-9007204654,1045118058715259458996,-276325,2026-07-19 05:50:35.000 UTC
875640634955667719,-875658,1045118058715259458996,-276325,2026-07-19 05:53:23.000 UTC
-9448893838731180865627,9448522188,1045118058715259458996,-276325,2026-07-19 05:58:35.000 UTC
11390654365699851375532,-11390797039,1045118058715259458996,-276325,2026-07-19 06:20:47.000 UTC
-10392108382814500414180,10391728874,1045118058715259458996,-276325,2026-07-19 06:32:23.000 UTC
